variables;score;;variables;score;;variables;score;;variables;score
AK;0.0543178;;AK;0.054389258;;AK;0.055071418;;AK;0.055071418
NKM;0.03693809;;NKM;0.033536481;;NKM;0.032523769;;NKM;0.032523769
FM;0.029068549;;FBO;0.033303312;;ROIC;0.031179342;;ROIC;0.031179342
FBO;0.025796;;FM;0.026329549;;FM;0.027980476;;FM;0.027980476
ROIC;0.025144079;;ROIC;0.025632995;;FBO;0.022233147;;FBO;0.022233147
KO;0.021659589;;KO;0.020733663;;KO;0.021773241;;KO;0.021773241
NO;0.013080116;;NO;0.019508179;;SDH;0.015339534;;SDH;0.015339534
SDH;0.007274261;;SDH;0.011129334;;CO;0.013180112;;CO;0.013180112
BKM;0.005701313;;CO;0.007233853;;BKM;0.008368582;;BKM;0.008368582
CO;0.003903335;;BKM;0.006705097;;NO;0.005623344;;NO;0.005623344
OK;0.001373464;;ADH;0.001609031;;OK;0.00193354;;OK;0.00193354
LO;0;;OK;0.000843526;;LO;0;;LO;0
ADH;0;;LO;0;;ADH;0;;ADH;0
;;;poy;;;dt;;;;
;;;;;;;;;;
;;;;;;;;;;
variables;score;;variables;score;;;;;;
AK;0.05222487;;AK;0.054120224;;;;;;
FBO;0.038240036;;NKM;0.034911138;;;;;;
NKM;0.034274878;;FBO;0.029731499;;;;;;
ROIC;0.029407859;;ROIC;0.028182222;;;;;;
FM;0.027044656;;FM;0.027332153;;;;;;
KO;0.022173492;;NO;0.024163129;;;;;;
NO;0.02002149;;KO;0.022369393;;;;;;
SDH;0.017056052;;SDH;0.010373517;;;;;;
BKM;0.00713541;;BKM;0.006785467;;;;;;
CO;0.003777799;;OK;0.002430212;;;;;;
OK;0.001672339;;CO;0;;;;;;
LO;0;;LO;0;;;;;;
ADH;0;;ADH;0;;;;;;
;;;rf;;;;;;;
lin;;;;;;;;;;
