0;1;2;3;4;5;6
svm;3;0.625403509;{'C': 20, 'degree': 3, 'kernel': 'rbf'};0.614418238;0.991111111;0.758511657
random_forest;3;0.649087719;{'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50};0.659415532;0.844444444;0.740163287
DT;3;0.64645614;{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 3};0.660933949;0.826666667;0.733798834
svm;4;0.625403509;{'C': 1000, 'degree': 3, 'kernel': 'rbf'};0.616201754;0.977777778;0.755832172
random_forest;4;0.675614035;{'criterion': 'entropy', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 15, 'n_estimators': 1};0.704490678;0.786666667;0.741183268
DT;4;0.667614035;{'criterion': 'entropy', 'max_depth': 12, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 4};0.666633296;0.88;0.758437645
svm;5;0.65445614;{'C': 1000, 'degree': 3, 'kernel': 'rbf'};0.646474585;0.924444444;0.760063511
random_forest;5;0.691368421;{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 5};0.697800687;0.848888889;0.764932704
DT;5;0.675403509;{'criterion': 'entropy', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3};0.698506134;0.808888889;0.748109794
svm;6;0.646526316;{'C': 1000, 'degree': 3, 'kernel': 'rbf'};0.645045932;0.897777778;0.749600657
random_forest;6;0.699157895;{'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100};0.701581956;0.857777778;0.771615292
DT;6;0.672666667;{'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4};0.679636304;0.857777778;0.756559881
svm;7;0.657017544;{'C': 1000, 'degree': 3, 'kernel': 'rbf'};0.658598697;0.875555556;0.751180235
random_forest;7;0.712421053;{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100};0.719545551;0.844444444;0.776913358
DT;7;0.683298246;{'criterion': 'gini', 'max_depth': 12, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2};0.736038808;0.728888889;0.7322027
svm;8;0.678105263;{'C': 1000, 'degree': 3, 'kernel': 'rbf'};0.688096233;0.835555556;0.754124949
random_forest;8;0.741578947;{'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50};0.747774717;0.853333333;0.796403167
DT;8;0.686105263;{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2};0.738135443;0.742222222;0.736534161
svm;9;0.680701754;{'C': 1000, 'degree': 3, 'kernel': 'rbf'};0.692890269;0.826666667;0.753357753
random_forest;9;0.728385965;{'criterion': 'entropy', 'max_depth': 9, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100};0.737788582;0.84;0.785302412
DT;9;0.683438596;{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2};0.752231087;0.697777778;0.723195951
svm;10;0.680807018;{'C': 1000, 'degree': 3, 'kernel': 'rbf'};0.69016049;0.835555556;0.754762917
random_forest;10;0.736175439;{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 15, 'n_estimators': 50};0.741435607;0.853333333;0.793299835
DT;10;0.720385965;{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 3};0.765517011;0.764444444;0.764317348
svm;11;0.67554386;{'C': 1000, 'degree': 3, 'kernel': 'rbf'};0.683796317;0.84;0.752618248
random_forest;11;0.736280702;{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100};0.747035525;0.84;0.790561381
DT;11;0.686;{'criterion': 'gini', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 3, 'min_samples_split': 3};0.735756954;0.742222222;0.737170232
svm;12;0.675614035;{'C': 1000, 'degree': 3, 'kernel': 'rbf'};0.679157283;0.857777778;0.757620936
random_forest;12;0.752035088;{'criterion': 'gini', 'max_depth': 6, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100};0.749311006;0.875555556;0.807243747
DT;12;0.706947368;{'criterion': 'gini', 'max_depth': 12, 'max_features': 'auto', 'min_samples_leaf': 3, 'min_samples_split': 3};0.756397842;0.755555556;0.750979007
svm;13;0.680842105;{'C': 100, 'degree': 3, 'kernel': 'linear'};0.679952615;0.871111111;0.763195216
random_forest;13;0.736210526;{'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50};0.729359744;0.884444444;0.799144933
DT;13;0.699087719;{'criterion': 'gini', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 3};0.744548538;0.751111111;0.747719006
;;;;;;
;;0.752035088;;;;
