degisken,test,train
5,0.4610734214973474,0.5584570935922553
6,0.4706386111504961,0.5570312447549433
7,0.48682646142868413,0.6114423496699161
8,0.5352464316982248,0.632424952612507
9,0.5341512955158574,0.632434691526002
10,0.6034304803519266,0.7633098444316768
11,0.6029135651296411,0.7638262513371805
12,0.5978249675266423,0.7669838845044614
13,0.657170241706003,0.772805445050465
14,0.6631800643816734,0.7757898476369264
15,0.6721457700328644,0.7771470054115721
16,0.7180657825528074,0.7911251919960521
17,0.7565719120586276,0.8019967211726784
18,0.7242611929220211,0.8029601607216421
19,0.7996772628622197,0.8531263934737034
20,0.7995323874609774,0.8531241117824053
21,0.7986483658367323,0.8578116636817094
22,0.8048801477637635,0.8558101173862458
23,0.8156131036561518,0.8600478509638493
24,0.8418572834496707,0.8681582641209296
25,0.8423185930874675,0.8726565675795342
26,0.8430046419448138,0.871507138162227
27,0.8431808335045713,0.8755371469808357
28,0.8518354119341354,0.8819307911811679
29,0.8615394276895296,0.8847278305796312
30,0.8566158623206349,0.8855384824772703
31,0.8297349172731958,0.8914736787335866
32,0.8789575218315244,0.8958140967538458
33,0.8691368301330862,0.8968376650334944
34,0.8342863358362212,0.8966314033145291
35,0.794839890319342,0.9014659706194397
